RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
3201,1543528064.890965,0.10020995140075684,20.3125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6947649130762318,-1.0
3202,1543528064.991585,0.10062003135681152,20.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3282998764480671,-1.0
3203,1543528065.091626,0.10004091262817383,20.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16010471441522192,-1.0
3204,1543528065.191693,0.100067138671875,21.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3881216728421406,-1.0
3205,1543528065.291895,0.10020184516906738,21.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5713551241750844,-1.0
3206,1543528065.392589,0.10069417953491211,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32832272261501627,-1.0
3207,1543528065.492572,0.09998297691345215,22.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21249317984736515,-1.0
3208,1543528065.592603,0.10003089904785156,22.3125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16009741740844052,-1.0
3209,1543528065.692829,0.10022592544555664,22.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32817910379351406,-1.0
3210,1543528065.793566,0.10073709487915039,22.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2695333440947164,-1.0
3211,1543528065.893601,0.10003495216369629,23.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6329553575559542,-1.0
3212,1543528065.993557,0.09995603561401367,23.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1600506647392999,-1.0
3213,1543528066.093794,0.10023713111877441,23.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5713613667982858,-1.0
3214,1543528066.19402,0.10022592544555664,23.8125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602193379620119,-1.0
3215,1543528066.294223,0.10020303726196289,23.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11809699064917477,-1.0
3216,1543528066.39445,0.10022687911987305,24.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8186584622823756,-1.0
3217,1543528066.494689,0.10023903846740723,24.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16022754126778604,-1.0
3218,1543528066.59495,0.10026097297668457,24.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11814615179240572,-1.0
3219,1543528066.695152,0.10020208358764648,24.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11809619394064245,-1.0
3220,1543528066.795375,0.10022306442260742,24.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2126050636331448,-1.0
3221,1543528066.895595,0.1002199649810791,25.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7566664003313582,-1.0
3222,1543528066.995861,0.1002659797668457,25.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21262530144826608,-1.0
3223,1543528067.096142,0.1002810001373291,25.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1602537962550483,-1.0
3224,1543528067.196337,0.10019493103027344,25.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10019496799766164,-1.0
3225,1543528067.296565,0.10022807121276855,25.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.212607425451943,-1.0
3226,1543528067.396793,0.10022783279418945,25.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21260731047326864,-1.0
3227,1543528067.497022,0.10022902488708496,25.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10022902489417415,-1.0
3228,1543528067.597262,0.10023999214172363,26.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2126130432143181,-1.0
3229,1543528067.697481,0.1002190113067627,26.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10021901350293,-1.0
3230,1543528067.797694,0.10021305084228516,26.3125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21260034241422465,-1.0
3231,1543528067.897914,0.1002199649810791,26.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2126036016360354,-1.0
3232,1543528067.99813,0.10021615028381348,26.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10021615035641612,-1.0
3233,1543528068.098378,0.10024785995483398,26.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.388168306834841,-1.0
3234,1543528068.198587,0.10020899772644043,26.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10020900526205487,-1.0
3235,1543528068.298805,0.10021805763244629,26.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11810973354343926,-1.0
3236,1543528068.399005,0.10019993782043457,26.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11809436001582184,-1.0
3237,1543528068.499216,0.10021114349365234,26.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1181038670233642,-1.0
3238,1543528068.599462,0.10024595260620117,27.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693496839159071,-1.0
3239,1543528068.699656,0.10019397735595703,27.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11808931280955388,-1.0
3240,1543528068.79987,0.10021400451660156,27.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11810629577774676,-1.0
3241,1543528068.900565,0.10069489479064941,27.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11851558164374686,-1.0
