RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
4505,1543528226.691045,0.09999299049377441,3.0,3.0,0.0,3.0,39.8672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.12223210774717193,-1.0
4506,1543528226.791983,0.1009378433227539,3.0,3.0,0.0,3.0,39.8203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11130566455269317,-1.0
4507,1543528226.891034,0.09905099868774414,3.0,3.0,0.0,3.0,39.6406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.20519929464722236,-1.0
4508,1543528226.991968,0.10093402862548828,3.0,3.0,0.0,3.0,39.5547,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1325520046484312,-1.0
4509,1543528227.091046,0.09907817840576172,3.0,3.0,0.0,3.0,39.2656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.3056120737409448,-1.0
4510,1543528227.191052,0.1000058650970459,3.0,3.0,0.0,3.0,39.2188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11041862911848478,-1.0
4511,1543528227.29105,0.09999799728393555,3.0,3.0,0.0,3.0,39.1719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11045003179130616,-1.0
4512,1543528227.391049,0.09999895095825195,3.0,3.0,0.0,3.0,38.9609,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.23349687405543515,-1.0
4513,1543528227.49105,0.10000109672546387,3.0,3.0,0.0,3.0,38.7344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.24759335481975392,-1.0
4514,1543528227.591039,0.09998893737792969,3.0,3.0,0.0,3.0,38.6172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.15405722230982294,-1.0
